,City,Country,Lat,Lon,Temp,Humidity,Wind Speed,Cloudiness,Date
0,salinopolis,BR,-0.61,-47.36,86.31,54,8.1,48,1595859255
1,college,US,64.86,-147.8,54.57,82,3.36,75,1595859255
2,poitiers,FR,46.58,0.33,85.59,45,16.11,0,1595859255
3,east london,ZA,-33.02,27.91,62.6,67,12.75,2,1595859255
4,grand-santi,GF,4.25,-54.38,87.93,55,3.4,2,1595859255
5,sri aman,MY,1.24,111.46,75.11,100,1.59,98,1595859255
6,atuona,PF,-9.8,-139.03,79.45,72,26.02,1,1595859255
7,thompson,CA,55.74,-97.86,59.0,93,3.36,90,1595859255
8,torbay,CA,47.67,-52.73,61.47,93,11.41,90,1595859256
9,caravelas,BR,-17.71,-39.25,78.17,58,8.59,9,1595859256
10,beni mazar,EG,28.5,30.8,104.45,12,13.71,0,1595859256
11,punta arenas,CL,-53.15,-70.92,40.14,80,24.16,40,1595859009
12,namatanai,PG,-3.67,152.43,79.81,81,5.66,100,1595859256
13,georgetown,MY,5.41,100.34,80.29,83,9.17,40,1595859256
14,new norfolk,AU,-42.78,147.06,41.74,88,1.61,99,1595859256
15,ushuaia,AR,-54.8,-68.3,35.6,74,34.45,90,1595859224
16,kiruna,SE,67.86,20.23,66.2,52,16.11,40,1595859256
17,normandin,CA,48.83,-72.53,77.0,83,4.7,75,1595859257
18,cherskiy,RU,68.75,161.3,37.6,82,11.34,13,1595859257
19,hirara,JP,24.8,125.28,84.79,80,11.14,41,1595859257
20,khatanga,RU,71.97,102.5,47.44,70,3.42,39,1595859257
21,wajima,JP,37.4,136.9,74.62,94,5.97,100,1595859257
22,hobart,AU,-42.88,147.33,45.07,93,5.82,75,1595859078
23,coquimbo,CL,-29.95,-71.34,55.4,66,3.36,11,1595859257
24,paamiut,GL,61.99,-49.67,46.02,90,4.79,100,1595859257
25,sorong,ID,-0.88,131.25,78.33,85,7.29,100,1595859258
26,port elizabeth,ZA,-33.92,25.57,60.8,55,10.29,0,1595859258
27,helong,CN,42.54,129.0,63.32,90,2.04,98,1595859258
28,lovozero,RU,68.0,35.01,69.4,51,6.6,89,1595859258
29,bluff,NZ,-46.6,168.33,39.0,83,3.0,100,1595859258
30,bubaque,GW,11.28,-15.83,80.46,81,20.71,57,1595859258
31,rikitea,PF,-23.12,-134.97,70.54,76,16.13,100,1595859258
32,saint-francois,FR,46.42,3.91,93.2,24,4.7,0,1595859258
33,saint george,US,37.1,-113.58,82.78,32,4.7,1,1595859238
34,palamos,ES,41.85,3.13,87.17,54,15.26,0,1595859258
35,faanui,PF,-16.48,-151.75,78.8,81,16.37,100,1595859258
36,iqaluit,CA,63.75,-68.51,51.39,81,3.36,75,1595859233
37,mahebourg,MU,-20.41,57.7,71.6,73,6.93,75,1595859259
38,boshkengash,TJ,38.47,68.81,93.2,26,4.47,20,1595859259
39,atar,MR,20.52,-13.05,102.49,26,8.68,0,1595859259
40,mataura,NZ,-46.19,168.86,39.0,83,3.0,90,1595859259
41,provideniya,RU,64.38,-173.3,50.72,88,8.14,79,1595859259
42,port alfred,ZA,-33.59,26.89,61.2,57,11.05,0,1595859259
43,korla,CN,41.76,86.15,91.27,22,6.38,57,1595859259
44,mogadishu,SO,2.04,45.34,80.6,69,19.46,40,1595859259
45,edeia,BR,-17.34,-49.93,81.7,40,10.83,0,1595859260
46,kapaa,US,22.08,-159.32,75.31,94,9.17,90,1595859260
47,rock falls,US,41.78,-89.69,74.53,100,6.93,90,1595859260
48,cape town,ZA,-33.93,18.42,63.55,42,10.29,0,1595859169
49,nantucket,US,41.28,-70.1,80.6,61,13.87,1,1595858992
50,fort nelson,CA,58.81,-122.7,59.0,82,8.05,75,1595859186
51,bredasdorp,ZA,-34.53,20.04,62.6,63,13.87,0,1595859260
52,kenora,CA,49.82,-94.43,66.27,77,4.7,40,1595859260
53,busselton,AU,-33.65,115.33,54.97,98,10.4,52,1595859260
54,quijingue,BR,-10.75,-39.21,77.88,62,9.13,78,1595859261
55,san quintin,MX,30.48,-115.95,66.34,87,8.63,100,1595859261
56,vao,NC,-22.67,167.48,71.65,79,18.9,58,1595859261
57,vestmannaeyjar,IS,63.44,-20.27,57.2,50,16.11,6,1595859261
58,lompoc,US,34.64,-120.46,55.98,93,3.36,90,1595859261
59,albany,US,42.6,-73.97,84.31,50,5.57,96,1595859163
60,cayenne,GF,4.93,-52.33,86.0,62,6.93,16,1595859261
61,xining,CN,36.62,101.77,58.73,67,7.25,100,1595859261
62,nortelandia,BR,-14.45,-56.8,87.42,27,7.43,0,1595859261
63,tuktoyaktuk,CA,69.45,-133.04,55.4,93,4.7,20,1595859261
64,castro,BR,-24.79,-50.01,71.28,53,8.12,100,1595859262
65,codrington,AU,-38.27,141.97,47.35,84,9.55,0,1595859262
66,qaanaaq,GL,77.48,-69.36,45.16,57,1.32,38,1595859262
67,lexington,US,37.99,-84.48,80.73,88,9.17,20,1595859181
68,roebourne,AU,-20.78,117.13,67.24,47,2.01,0,1595859262
69,bilma,NE,18.69,12.92,106.48,19,14.14,68,1595859262
70,lithakia,GR,37.72,20.83,89.6,40,6.93,0,1595859262
71,verkhniy baskunchak,RU,48.23,46.72,90.1,15,10.51,22,1595859262
72,bambous virieux,MU,-20.34,57.76,71.33,73,6.93,75,1595859262
73,gazli,UZ,40.13,63.45,101.03,9,7.96,0,1595859263
74,lethem,GY,3.38,-59.8,86.27,63,2.21,6,1595859263
75,hermanus,ZA,-34.42,19.23,64.99,56,5.01,0,1595859263
76,souillac,MU,-20.52,57.52,71.6,73,6.93,75,1595859263
77,avarua,CK,-21.21,-159.78,69.8,88,8.05,77,1595859263
78,vilyuysk,RU,63.76,121.62,53.91,65,7.9,100,1595859263
79,carnarvon,AU,-24.87,113.63,60.8,82,5.82,0,1595859263
80,upernavik,GL,72.79,-56.15,43.86,77,5.39,0,1595859263
81,dikson,RU,73.51,80.55,37.71,91,15.46,49,1595859263
82,kodiak,US,57.79,-152.41,55.4,76,3.2,90,1595859264
83,ponta do sol,PT,32.67,-17.1,73.04,61,20.8,40,1595859264
84,ribeira grande,PT,38.52,-28.7,78.8,74,9.17,75,1595859264
85,tuatapere,NZ,-46.13,167.68,39.0,83,3.0,98,1595859264
