,City,Lat,Lon,Temp,Humidity,Wind Speed,Cloudiness,Date
0,qaanaaq,77.48,-69.36,43.97,59,3.36,0,1595852357
1,faanui,-16.48,-151.75,78.98,81,15.32,92,1595852357
2,punta arenas,-53.15,-70.92,39.09,80,31.09,40,1595852215
3,hasaki,35.73,140.83,78.85,83,2.24,75,1595852357
4,albany,42.6,-73.97,73.81,60,4.27,29,1595852357
5,bathsheba,13.22,-59.52,86.0,70,17.22,20,1595852357
6,east london,-33.02,27.91,64.4,42,10.29,26,1595852357
7,ushuaia,-54.8,-68.3,37.4,93,36.91,75,1595852357
8,kushiro,42.98,144.37,55.4,100,4.7,75,1595852357
9,dicabisagan,17.08,122.42,82.69,78,2.44,62,1595852357
10,saryg-sep,51.5,95.6,72.5,44,3.58,24,1595852358
11,kapaa,22.08,-159.32,75.43,83,13.87,90,1595852358
12,bethel,41.37,-73.41,73.56,69,5.82,1,1595852153
13,kavieng,-2.57,150.8,81.91,75,1.54,44,1595852358
14,mitsamiouli,-11.38,43.28,78.8,61,12.75,90,1595852358
15,hermanus,-34.42,19.23,64.99,57,1.99,1,1595852358
16,rikitea,-23.12,-134.97,70.5,77,15.08,46,1595852358
17,thompson,55.74,-97.86,59.0,93,3.36,90,1595852128
18,victoria,22.29,114.16,85.03,74,8.01,87,1595852128
19,kaabong,3.48,34.15,70.97,68,1.9,44,1595852359
20,torbay,47.67,-52.73,59.86,100,11.41,90,1595852359
21,akdepe,42.06,59.38,98.65,12,4.7,13,1595852359
22,dauriya,49.93,116.87,74.17,59,11.39,70,1595852359
23,busselton,-33.65,115.33,56.34,98,13.49,100,1595852359
24,rio gallegos,-51.62,-69.22,32.0,95,17.22,20,1595852359
25,port alfred,-33.59,26.89,61.86,52,9.24,13,1595852359
26,ancud,-41.87,-73.82,34.75,79,3.36,75,1595852360
27,mataura,-46.19,168.86,39.0,83,3.0,87,1595852360
28,atar,20.52,-13.05,98.15,31,8.59,14,1595852360
29,north bend,43.41,-124.22,55.35,100,1.36,90,1595852360
30,praya,14.92,-23.51,82.4,58,17.22,20,1595852106
31,wagar,16.15,36.2,86.49,54,13.56,100,1595852360
32,mount isa,-20.73,139.5,50.0,34,12.48,12,1595852360
33,butaritari,3.07,172.79,83.12,76,11.36,98,1595852360
34,ponta do sol,32.67,-17.1,72.16,60,17.22,20,1595852361
35,bundaberg,-24.85,152.35,59.54,87,4.7,98,1595852332
36,narsaq,60.92,-46.05,50.0,76,2.24,75,1595852361
37,jamestown,42.1,-79.24,73.69,88,6.93,20,1595852361
38,whitley bay,55.04,-1.45,59.43,87,6.93,75,1595852361
39,la reforma,25.08,-108.05,79.03,88,8.01,100,1595852361
40,kruisfontein,-34.0,24.73,66.99,49,4.0,12,1595852361
41,ngora,1.43,33.78,80.89,47,3.47,22,1595852361
42,cape town,-33.93,18.42,64.76,42,6.93,0,1595852064
43,kavaratti,10.57,72.64,82.45,78,14.0,76,1595852362
44,hobart,-42.88,147.33,45.05,76,5.82,75,1595852362
45,hilo,19.73,-155.09,72.12,88,6.93,90,1595852362
46,kurilsk,45.23,147.88,52.43,83,5.79,85,1595852362
47,liverpool,53.41,-2.98,65.19,93,16.11,75,1595852144
48,naujoji akmene,56.32,22.9,77.0,61,9.17,83,1595852362
49,qaqortoq,60.72,-46.03,50.0,76,2.24,75,1595852362
50,west wendover,40.74,-114.07,73.4,28,3.36,1,1595852249
51,mims,28.67,-80.84,75.07,94,3.36,1,1595852363
52,dikson,73.51,80.55,39.36,87,14.61,42,1595852363
53,san policarpo,12.18,125.51,82.13,79,2.01,98,1595852363
